account,username,text
asumsico,trinurrendra,"Cancel aja pak. Ketimbang uang kepotong jadi 5rb, Makana bergizi apa senilai 5rb? Programnya ganti setiap keluarga punya anak sekolah dapet subsidi dari pemerintah."
asumsico,whyuuyy,"ganti saja programnya dengan yang lebih baik, pak"
asumsico,deje1702,Lebih realistis 1 keluarga 1 sarjana padahal 🥲
asumsico,nadiatrisna,Snack rapat kalian aja ga segitu 😂
asumsico,alusia_kristi,Dr pd di realisasikan tp ga kesini ga kesana mending buat program pendidikan yg lain dgn budget yg ada tp hasilnya bs maksimal
asumsico,taufik_fatih,Oke gas oke gas 🤣🤣
asumsico,novianunuu,"Rakyat mah gakpapa pak, sampe terakhir nasi sama garem juga. Biar anggaran buat pejabatnya tetep terjamin meeting di hotel, makan fancy, rumah mewah, transport nyaman, dinas ke luar negeri dengan fasilitas luar biasa dll dll pokoknya ✨"
asumsico,aabdoelkarim,ini dulu program andalan kampanye nya loh ya. katanya kita mampu. dengan anggaran apbn kita. makanya klo bikin janji politik yg lebih make sense ga sih. kemampuan anggaran apbn kita belum se-superior itu untuk mencover program ini.
asumsico,sulindra_adhya,Awokawok
asumsico,santosoanaz,nanti mereka rapat coffee breaknya gorengan 10rb 2 ama aqua gelas mau gak ya?
asumsico,aliimrnnn,BBM ga jd di turunin pak? Kmren janji kampanye itu
asumsico,priastandart,10 ribu bergizi dapet apa der?
asumsico,endrowwibowo1,@novitriutomo rokokmu regane piro ?
asumsico,ipunk_buzz_string,pengen ngomong kasar takut disamperin tim mawar
asumsico,saekhulh__,Mekso
asumsico,thesanurm,"10 ribu terbukti bisa bergizi kan? yaudah anggaran makan untuk acara kenegaraan dan pemerintah buat potong juga ke angka 10 ribu ya, sudah bergizi kok 🙏🏽"
asumsico,pratickogenio,Prank
asumsico,hartonosastro,Mentahan aj pak
asumsico,iiqbale39,potang potong 😅😅
asumsico,aan_amirul_burdan,"Kalau ngak cukup dana kenapa di paksakan pak ,batalin aja program ini"
asumsico,akbar_privacy,Besar pasak daripada tiang
asumsico,abdurrahmanmasilan,Waktu kampanye gak difikir dulu ya
